Index,Field_ID,Species,LiveSeed_Concentration,Origin
525,Antelope11025B,Helianthus maximiliani,0.02,NE
526,Antelope11025B,Helianthus petiolaris,0.01,IA
527,Antelope11025B,Potentilla arguta,0.005,WI
528,Antelope11025B,Dalea purpurea,0.1,IA
529,Antelope11025B,Trifolium pratense,0.25,OR
530,Antelope11025B,Lespedeza capitata,0.02,IA
531,Antelope11025B,Liatris squarrosa,0.01,NC
532,Antelope11025B,Mimosa nuttallii,0.01,MO
533,Antelope11025B,Penstemon grandiflorus,0.01,NE
534,Antelope11025B,Chamaecrista fasciculata,0.2,IA
535,Antelope11025B,Dalea villosa,0.01,NE
536,Antelope11025B,Solidago rigida,0.01,IA
537,Antelope11025B,Helianthus pauciflorus,0.01,ND
538,Antelope11025B,Ratibida columnifera,0.04,OR
539,Antelope11025B,Eupatorium altissimum,0.005,IA
540,Antelope11025B,Rosa woodsii,0.01,UT
541,Antelope11025B,Achillea millefolium,0.03,OR
542,Antelope11025B,Monarda fistulosa,0.01,IA
543,Antelope11025B,Dalea candida,0.1,MN
